  202.99	7.151e+3		3.074e+2		4.434e+2		5.962e+3	6.115e-1	7.214e+1	3.659e+2	
  203.08	8.842e+3		1.884e+2		9.595e+2		7.132e+3	1.645e+0	5.083e+1	5.100e+2	
  203.17	1.081e+4		1.162e+2		1.888e+3		8.123e+3	4.017e+0	3.453e+1	6.444e+2	
  203.27	1.333e+4		9.103e+1		3.585e+3		8.880e+3	9.660e+0	2.235e+1	7.451e+2	
  203.36	1.594e+4		1.175e+2		5.783e+3		9.239e+3	1.920e+1	1.555e+1	7.656e+2	
  203.45	1.886e+4		1.929e+2		8.504e+3		9.401e+3	3.462e+1	1.134e+1	7.133e+2	
  203.55	2.228e+4		3.363e+2		1.173e+4		9.559e+3	5.947e+1	8.525e+0	5.878e+2	
  203.64	2.517e+4		5.126e+2		1.425e+4		9.862e+3	8.732e+1	7.116e+0	4.454e+2	
  203.73	2.739e+4		7.121e+2		1.586e+4		1.039e+4	1.163e+2	6.590e+0	3.060e+2	
  203.83	2.855e+4		9.162e+2		1.615e+4		1.115e+4	1.427e+2	6.946e+0	1.797e+2	
  203.92	2.808e+4		1.037e+3		1.503e+4		1.175e+4	1.547e+2	8.014e+0	1.004e+2	
  204.01	2.615e+4		1.066e+3		1.289e+4		1.198e+4	1.522e+2	9.739e+0	5.089e+1	
  204.11	2.257e+4		9.802e+2		9.897e+3		1.152e+4	1.334e+2	1.258e+1	2.147e+1	
  204.20	1.858e+4		8.211e+2		7.182e+3		1.044e+4	1.069e+2	1.637e+1	9.406e+0	
  204.29	1.447e+4		6.276e+2		4.820e+3		8.914e+3	7.770e+1	2.185e+1	5.304e+0	
  204.39	1.044e+4		4.316e+2		2.823e+3		7.094e+3	4.874e+1	3.031e+1	7.541e+0	
  204.48	7.750e+3		3.288e+2		1.605e+3		5.730e+3	2.915e+1	3.983e+1	1.736e+1	
  204.57	6.216e+3		3.714e+2		8.412e+2		4.896e+3	1.642e+1	5.037e+1	4.037e+1	
  204.67	6.012e+3		7.654e+2		3.725e+2		4.710e+3	9.409e+0	6.206e+1	9.354e+1	
  204.76	7.311e+3		1.750e+3		1.636e+2		5.137e+3	8.455e+0	7.170e+1	1.803e+2	
  204.86	1.071e+4		4.189e+3		5.922e+1		6.030e+3	1.308e+1	8.113e+1	3.341e+2	
  204.95	1.598e+4		8.401e+3		2.160e+1		6.922e+3	2.367e+1	8.864e+1	5.258e+2	
