  203.97	2.364e+0		2.364e+0	1.617e-6	1.902e-6		1.603e-7		8.637e-7	
  204.06	2.260e+0		2.260e+0	5.499e-6	3.944e-7		1.494e-7		1.185e-7	
  204.15	2.162e+0		2.162e+0	1.699e-5	7.408e-8		1.264e-7		1.472e-8	
  204.25	2.395e+0		2.395e+0	5.313e-5	1.029e-8		9.357e-8		1.291e-9	
  204.34	3.463e+0		3.463e+0	1.340e-4	1.570e-9		6.444e-8		1.302e-10	
  204.44	6.682e+0		6.682e+0	3.344e-4	1.730e-10		3.805e-8		9.051e-12	
  204.53	1.282e+1		1.282e+1	6.881e-4	2.143e-11		2.157e-8		7.402e-13	
  204.62	2.366e+1		2.366e+1	1.286e-3	2.404e-12		1.165e-8		6.107e-13	
  204.72	4.291e+1		4.290e+1	2.302e-3	1.884e-13		6.905e-9		4.669e-13	
  204.81	6.702e+1		6.702e+1	3.511e-3	1.716e-14		7.310e-9		3.375e-13	
  204.90	9.575e+1		9.575e+1	4.865e-3	1.416e-15		1.208e-8		2.081e-13	1.220e-14
  205.00	1.279e+2		1.279e+2	6.243e-3	7.892e-17		2.334e-8		3.589e-12	2.019e-13
  205.09	1.506e+2		1.506e+2	7.060e-3	7.128e-17		3.967e-8		4.216e-11	2.285e-12
  205.18	1.616e+2		1.616e+2	7.252e-3	6.365e-17		6.166e-8		4.508e-10	2.353e-11
  205.28	1.567e+2		1.567e+2	6.673e-3	5.516e-17		9.010e-8		5.617e-9	2.812e-10
  205.37	1.382e+2		1.382e+2	5.595e-3	4.752e-17		1.148e-7		4.923e-8	2.374e-9
  205.46	1.109e+2		1.109e+2	4.262e-3	3.989e-17		1.333e-7		3.927e-7	1.824e-8
  205.56	7.790e+1		7.790e+1	2.818e-3	3.140e-17		1.424e-7		3.533e-6	1.574e-7
  205.65	5.136e+1		5.136e+1	1.762e-3	2.376e-17		1.406e-7		2.310e-5	9.914e-7
  205.74	3.084e+1		3.084e+1	1.019e-3	1.612e-17		1.352e-7		1.375e-4	5.683e-6
  205.84	1.569e+1		1.569e+1	5.341e-4	7.638e-18		1.372e-7		8.935e-4	3.542e-5
  205.93	7.748e+0		7.743e+0	3.342e-4	1.020e-27		1.592e-7		4.359e-3	1.664e-4
  206.02	3.503e+0		3.482e+0	2.845e-4	1.324e-26		2.102e-7		1.936e-2	7.118e-4
  206.12	1.380e+0		1.286e+0	3.350e-4	2.048e-25		3.028e-7		9.083e-2	3.204e-3
  206.21	8.183e-1		4.760e-1	4.271e-4	2.183e-24		4.087e-7		3.306e-1	1.123e-2
  206.30	1.292e+0		1.607e-1	5.259e-4	2.119e-23		5.152e-7		1.095e+0	3.584e-2
  206.40	3.872e+0		4.320e-2	6.062e-4	2.415e-22		6.032e-7		3.712e+0	1.165e-1
  206.49	1.040e+1		1.203e-2	6.282e-4	1.946e-21		6.313e-7		1.008e+1	3.046e-1
  206.58	2.565e+1		3.057e-3	5.942e-4	1.436e-20		6.016e-7		2.492e+1	7.252e-1
  206.68	6.269e+1		6.003e-4	5.011e-4	1.199e-19		5.103e-7		6.098e+1	1.702e+0
  206.77	1.269e+2		1.261e-4	3.894e-4	7.444e-19		3.982e-7		1.236e+2	3.322e+0
  206.86	2.338e+2		2.423e-5	2.756e-4	4.299e-18		2.826e-7		2.279e+2	5.900e+0
  206.96	4.127e+2		3.489e-6	1.680e-4	2.798e-17		1.727e-7		4.027e+2	1.000e+1
  207.05	6.234e+2		5.568e-7	9.743e-5	1.427e-16		1.003e-7		6.088e+2	1.456e+1
  207.14	8.569e+2		9.383e-8	5.140e-5	6.958e-16		5.295e-8		8.377e+2	1.929e+1
  207.24	1.093e+3		1.287e-7	2.260e-5	3.864e-15		2.330e-8		1.069e+3	2.362e+1
  207.33	1.232e+3		8.081e-7	9.761e-6	1.733e-14		1.008e-8		1.206e+3	2.565e+1
  207.42	1.263e+3		4.949e-6	3.841e-6	7.431e-14		3.985e-9		1.238e+3	2.536e+1
  207.52	1.164e+3		3.333e-5	1.259e-6	3.512e-13		1.356e-9		1.141e+3	2.242e+1
  207.61	9.784e+2		1.684e-4	5.963e-7	1.328e-12		6.970e-10		9.602e+2	1.817e+1
  207.70	7.488e+2		7.760e-4	9.880e-7	4.665e-12		8.910e-10		7.354e+2	1.340e+1
  207.80	4.982e+2		3.807e-3	3.997e-6	1.716e-11		2.058e-9		4.896e+2	8.567e+0
  207.89	3.126e+2		1.446e-2	1.428e-5	5.071e-11		4.403e-9		3.074e+2	5.211e+0
  207.98	1.786e+2		5.013e-2	4.744e-5	1.373e-10		8.682e-9		1.756e+2	2.955e+0
  208.08	8.629e+1		1.792e-1	1.642e-4	3.739e-10		1.662e-8		8.450e+1	1.618e+0
  208.17	4.157e+1		5.122e-1	4.616e-4	8.371e-10		2.717e-8		3.976e+1	1.296e+0
  208.26	2.067e+1		1.336e+0	1.196e-3	1.710e-9		4.083e-8		1.760e+1	1.729e+0
  208.36	1.522e+1		3.485e+0	3.130e-3	3.396e-9		5.865e-8		8.569e+0	3.167e+0
  208.45	2.300e+1		7.502e+0	6.811e-3	5.711e-9		7.592e-8		1.000e+1	5.493e+0
  208.54	4.565e+1		1.475e+1	1.362e-2	8.756e-9		9.389e-8		2.193e+1	8.961e+0
  208.64	9.952e+1		2.809e+1	2.657e-2	1.263e-8		1.158e-7		5.719e+1	1.421e+1
  208.73	1.915e+2		4.561e+1	4.424e-2	1.592e-8		1.397e-7		1.258e+2	2.002e+1
  208.82	3.474e+2		6.764e+1	6.744e-2	1.830e-8		1.692e-7		2.532e+2	2.643e+1
